"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"USC-099xx","WBB Semester At Large","M","1.0-18.0 units, max 18","Lecture","00901D","018","TBA","TBA","50","0","0","","OFF CAMPUS"
"","","","","Lecture","00903D","828","TBA","TBA","75","0","0","","OFF CAMPUS"
"USC-300","Overseas Block Enrollment","","1.0-16.0 units, max 16","Lecture","00406D","935","TBA","TBA","5","0","0","","OFFICE"
"","","","","Lecture","00407D","784","TBA","TBA","4","0","0","","OFFICE"
"","","","","Lecture","00408D","972","TBA","TBA","8","0","0","","OFFICE"
"","","","","Lecture","00409D","218","TBA","TBA","9","0","0","","OFFICE"
"","","","","Lecture","00410D","241","TBA","TBA","4","0","0","","OFFICE"
"","","","","Lecture","00411D","173","TBA","TBA","20","0","0","","OFFICE"
"","","","","Lecture","00412D","392","TBA","TBA","4","0","0","","OFFICE"
"","","","","Lecture","00419D","589","TBA","TBA","3","0","0","","OFF CAMPUS"
"","","","","Lecture","00420D","568","TBA","TBA","4","0","0","","OFFICE"
"USC-300o","Off-Campus Studies","","1.0-18.0 units, max 20","Lecture","08800D","249","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08801D","463","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08802D","940","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08803D","252","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08804D","788","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08806D","737","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08808D","245","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08810D","246","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08812D","707","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08814D","244","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08816D","939","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08817D","158","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08818D","247","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08822D","462","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08824D","789","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08826D","455","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08828D","461","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08830D","123","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08831D","165","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08832D","890","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08833D","139","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08834D","460","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08836D","478","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08837D","142","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08838D","159","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08840D","146","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08848D","125","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08850D","135","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08854D","168","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08856D","161","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08860D","111","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08862D","114","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08864D","130","TBA","TBA","15","0","0","Tyrone Callahan","OFF CAMPUS"
"","","","","Lecture","08865D","571","TBA","TBA","15","0","0","Tyrone Callahan","OFFICE"
"USC-500o","Off Campus Studies","","0.0-15.0 units, max 15","Lecture","08902D","251","TBA","TBA","1","0","0","Suh-Pyng Ku","OFF CAMPUS"
"","","","","Lecture","08912D","454","TBA","TBA","1","0","0","Suh-Pyng Ku","OFF CAMPUS"
"","","","","Lecture","08926D","152","TBA","TBA","1","0","0","Suh-Pyng Ku","OFF CAMPUS"
