"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-121gp","Art and Society: Renaissance to Modern","","4.0 units","Lecture","11818R","001","8:00-9:20am","Mon, Wed","132","1","0","Hector Reyes","THH301"
"","","","","Discussion","11819R","001","9:00-9:50am","Tuesday","22","0","0","Jessica Brier","VKC157"
"","","","","Discussion","11820R","001","9:00-9:50am","Thursday","22","0","0","Jessica Brier","VKC157"
"","","","","Discussion","11821R","001","9:00-9:50am","Friday","22","0","0","Avigail Moss","VKC155"
"","","","","Discussion","11822R","001","10:00-10:50am","Friday","22","0","0","Avigail Moss","VKC155"
"","","","","Discussion","11823R","001","11:00-11:50am","Friday","22","1","0","Erin Pauwels","VKC155"
"","","","","Discussion","11824R","001","12:00-12:50pm","Friday","22","0","0","Erin Pauwels","VKC155"
"AMST-301gp","America, the Frontier, and the New West","","4.0 units","Lecture","10408R","001","2:00-3:50pm","Mon, Wed","7","0","0","Thomas Gustafson","THH201"
"","","","","Discussion","10409R","001","11:00-11:50am","Friday","25","0","0","","VKC205"
"","","","","Discussion","10410R","001","12:00-12:50pm","Friday","25","0","0","","VKC205"
"","","","","Discussion","10411R","001","4:00-4:50pm","Monday","25","0","0","","VKC109"
"","","","","Discussion","10412R","001","4:00-4:50pm","Wednesday","26","0","0","","VKC109"
"","","","","Discussion","10413R","001","2:00-2:50pm","Friday","25","0","0","","VKC258"
"","","","","Discussion","10414R","001","3:00-3:50pm","Tuesday","25","0","0","","VKC151"
"","","","","Discussion","10415R","001","4:00-4:50pm","Tuesday","25","0","0","","VKC155"
"","","","","Discussion","10416R","001","3:00-3:50pm","Friday","24","0","0","","WPH103"
"CLAS-150g","Greeks and Legacies","","4.0 units","Lecture","19800R","001","12:30-1:50pm","Tue, Thu","150","0","0","James Collins","THH301"
"","","","","Discussion","19801D","001","8:00-8:50am","Wednesday","25","0","0","","VKC151"
"","","","","Discussion","19802R","001","9:00-9:50am","Wednesday","25","0","0","","VKC157"
"","","","","Discussion","19803R","001","2:00-2:50pm","Wednesday","25","0","0","","SOS B37"
"","","","","Discussion","19804R","001","3:00-3:50pm","Wednesday","25","0","0","","SOS B37"
"","","","","Discussion","19805D","001","2:00-2:50pm","Friday","25","0","0","","VKC158"
"","","","","Discussion","19806R","001","3:00-3:50pm","Friday","25","0","0","","VKC158"
"CLAS-280gp","Classical Mythology","","4.0 units","Lecture","19810R","001","11:00-12:20pm","Tue, Thu","200","2","0","Thomas Habinek","THH201"
"","","","","Discussion","19811R","001","8:00-8:50am","Monday","25","0","0","","VKC151"
"","","","","Discussion","19812R","001","9:00-9:50am","Monday","25","0","0","","VKC151"
"","","","","Discussion","19813R","001","3:00-3:50pm","Wednesday","25","2","0","","THH B9"
"","","","","Discussion","19814R","001","4:00-4:50pm","Wednesday","25","0","0","","THH B9"
"","","","","Discussion","19815R","001","8:00-8:50am","Friday","25","0","0","","VKC158"
"","","","","Discussion","19816R","001","9:00-9:50am","Friday","25","0","0","","VKC158"
"","","","","Discussion","19817R","001","12:00-12:50pm","Friday","25","0","0","","THH215"
"","","","","Discussion","19818R","001","1:00-1:50pm","Friday","25","0","0","","THH215"
"COLT-374gm","Women Writers in Europe and America","","4.0 units","Lecture","22040R","001","11:00-12:20pm","Tue, Thu","100","2","0","Margaret Rosenthal","THH210"
"","","","","Discussion","22041R","001","9:00-9:50am","Monday","25","0","0","","THH214"
"","","","","Discussion","22042R","001","10:00-10:50am","Monday","25","0","0","","THH214"
"","","","","Discussion","22043R","001","9:00-9:50am","Wednesday","25","0","0","","WPH107"
"","","","","Discussion","22044R","001","10:00-10:50am","Wednesday","25","2","0","","WPH103"
