"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"WRIT-095x","Writing Tutorial","","1.0 unit","Lecture","66990D","001","10:00-10:50am","Monday","99","0","0","","THH216"
"","","","","Lecture","66992D","001","1:00-1:50pm","Tuesday","99","0","0","","THH216"
"","","","","Lecture","66995D","001","5:00-5:50pm","Wednesday","99","0","0","","THH216"
"WRIT-120","Introduction to College Writing","","4.0 units","Lecture","64000D","001","11:00-11:50am","MWF","17","0","0","","GFS213"
"WRIT-121","Introduction to College Writing in a Second Language","","4.0 units","Lecture","64050D","001","12:00-12:50pm","MWF","17","0","0","","VKC204"
"WRIT-150","Writing and Critical Reasoning--Thematic Approaches","","4.0 units"
"","Issues in Aesthetics","","4.0","Lecture","64100R","001","8:30-9:50am","Mon, Wed","1","0","0","","GFS107"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64105R","001","8:30-9:50am","Mon, Wed","1","0","0","","GFS213"
"","Technology &amp; Social Change","","4.0","Lecture","64110R","001","8:30-9:50am","Mon, Wed","1","0","0","","GFS104"
"","Issues in Aesthetics","","4.0","Lecture","64130R","001","8:00-9:20am","Tue, Thu","1","0","0","","GFS210"
"","Education and Intellectual Development","","4.0","Lecture","64135D","001","8:00-9:20am","Tue, Thu","1","0","0","","GFS205"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64140R","001","8:00-9:20am","Tue, Thu","1","0","0","","GFS204"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64150R","001","8:00-9:20am","Tue, Thu","1","0","0","","GFS111"
"","Technology &amp; Social Change","","4.0","Lecture","64155R","001","8:00-9:20am","Tue, Thu","1","0","0","","GFS202"
"","Issues in Aesthetics","","4.0","Lecture","64170R","001","9:00-9:50am","MWF","1","0","0","","GFS216"
"","Issues in Contemporary Economics","","4.0","Lecture","64175R","001","9:00-9:50am","MWF","1","0","0","","GFS212"
"","Health and Healing","","4.0","Lecture","64180R","001","9:00-9:50am","MWF","1","0","0","","GFS210"
"","Human Values and Belief Systems","","4.0","Lecture","64185R","001","9:00-9:50am","MWF","1","0","0","","GFS205"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64190R","001","9:00-9:50am","MWF","1","0","0","","GFS204"
"","Issues in Law and Social Justice","","4.0","Lecture","64195R","001","9:00-9:50am","MWF","1","0","0","","GFS114"
"","Issues in Sustainability","","4.0","Lecture","64200R","001","9:00-9:50am","MWF","1","0","0","","GFS113"
"","Technology &amp; Social Change","","4.0","Lecture","64205R","001","9:00-9:50am","MWF","1","0","0","","GFS112"
"","Issues in Aesthetics","","4.0","Lecture","64230R","001","9:30-10:50am","Tue, Thu","1","0","0","","WPH107"
"","Issues in Contemporary Economics","","4.0","Lecture","64235R","001","9:30-10:50am","Tue, Thu","1","0","0","","VKC158"
"","Education and Intellectual Development","","4.0","Lecture","64240R","001","9:30-10:50am","Tue, Thu","1","0","0","","VKC155"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64245R","001","9:30-10:50am","Tue, Thu","1","0","0","","VKC154"
"","Health and Healing","","4.0","Lecture","64250R","001","9:30-10:50am","Tue, Thu","1","0","0","","THH215"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64260R","001","9:30-10:50am","Tue, Thu","1","0","0","","WPH202"
"","Issues in Law and Social Justice","","4.0","Lecture","64265R","001","9:30-10:50am","Tue, Thu","1","0","0","","WPH201"
"","Issues in Law and Social Justice","","4.0","Lecture","64270R","001","9:30-10:50am","Tue, Thu","1","0","0","","VKC104"
"","Issues in Sustainability","","4.0","Lecture","64275R","001","9:30-10:50am","Tue, Thu","1","0","0","","GFS222"
"","Technology &amp; Social Change","","4.0","Lecture","64280R","001","9:30-10:50am","Tue, Thu","1","0","0","","GFS107"
"","Issues in Aesthetics","","4.0","Lecture","64290R","001","10:00-10:50am","MWF","1","0","0","","GFS109"
"","Issues in Contemporary Economics","","4.0","Lecture","64295R","001","10:00-10:50am","MWF","1","0","0","","GFS105"
"","Education and Intellectual Development","","4.0","Lecture","64300R","001","10:00-10:50am","MWF","1","0","0","","GFS104"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64305R","001","10:00-10:50am","MWF","1","0","0","","GFS218"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64310R","001","10:00-10:50am","MWF","1","0","0","","GFS217"
"","Human Values and Belief Systems","","4.0","Lecture","64315R","001","10:00-10:50am","MWF","1","0","0","","GFS216"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64320R","001","10:00-10:50am","MWF","1","0","0","","GFS212"
"","Issues in Law and Social Justice","","4.0","Lecture","64325R","001","10:00-10:50am","MWF","1","0","0","","GFS210"
"","Technology &amp; Social Change","","4.0","Lecture","64330R","001","10:00-10:50am","MWF","1","0","0","","GFS205"
"","Issues in Aesthetics","","4.0","Lecture","64350R","001","11:00-11:50am","MWF","1","0","0","","GFS109"
"","Education and Intellectual Development","","4.0","Lecture","64360R","001","11:00-11:50am","MWF","1","0","0","","GFS105"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64365R","001","11:00-11:50am","MWF","1","0","0","","GFS104"
"","Health and Healing","","4.0","Lecture","64370R","001","11:00-11:50am","MWF","1","0","0","","GFS218"
"","Human Values and Belief Systems","","4.0","Lecture","64375R","001","11:00-11:50am","MWF","1","0","0","","GFS217"
"","Issues in Law and Social Justice","","4.0","Lecture","64380R","001","11:00-11:50am","MWF","1","0","0","","GFS216"
"","Issues in Sustainability","","4.0","Lecture","64385R","001","11:00-11:50am","MWF","1","0","0","","GFS212"
"","Issues in Aesthetics","","4.0","Lecture","64400R","001","11:00-12:20pm","Tue, Thu","1","0","0","","VKC207"
"","Issues in Aesthetics","","4.0","Lecture","64405R","001","11:00-12:20pm","Tue, Thu","1","0","0","","VKC205"
"","Issues in Contemporary Economics","","4.0","Lecture","64410R","001","11:00-12:20pm","Tue, Thu","1","0","0","","VKC157"
"","Education and Intellectual Development","","4.0","Lecture","64415R","001","11:00-12:20pm","Tue, Thu","1","0","0","","VKC151"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64420R","001","11:00-12:20pm","Tue, Thu","1","0","0","","THH214"
"","Health and Healing","","4.0","Lecture","64425R","001","11:00-12:20pm","Tue, Thu","1","0","0","","THH106"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64440R","001","11:00-12:20pm","Tue, Thu","1","0","0","","WPH107"
"","Issues in Law and Social Justice","","4.0","Lecture","64445R","001","11:00-12:20pm","Tue, Thu","1","0","0","","GFS222"
"","Issues in Sustainability","","4.0","Lecture","64450R","001","11:00-12:20pm","Tue, Thu","1","0","0","","VKC154"
"","Technology &amp; Social Change","","4.0","Lecture","64455R","001","11:00-12:20pm","Tue, Thu","1","0","0","","GFS107"
"","Issues in Contemporary Economics","","4.0","Lecture","64470R","001","12:00-12:50pm","MWF","1","0","0","","GFS223"
"","Education and Intellectual Development","","4.0","Lecture","64475R","001","12:00-12:50pm","MWF","1","0","0","","WPH201"
"","Issues in Contemporary Economics","","4.0","Lecture","64480R","001","12:00-12:50pm","MWF","1","0","0","","GFS229"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64485R","001","12:00-12:50pm","MWF","1","0","0","","GFS228"
"","Health and Healing","","4.0","Lecture","64490R","001","12:00-12:50pm","MWF","1","0","0","","GFS221"
"","Health and Healing","","4.0","Lecture","64495R","001","12:00-12:50pm","MWF","1","0","0","","GFS213"
"","Human Values and Belief Systems","","4.0","Lecture","64500R","001","12:00-12:50pm","MWF","1","0","0","","GFS109"
"","Human Values and Belief Systems","","4.0","Lecture","64505R","001","12:00-12:50pm","MWF","1","0","0","","GFS108"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64510R","001","12:00-12:50pm","MWF","1","0","0","","GFS105"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64515R","001","12:00-12:50pm","MWF","1","0","0","","GFS104"
"","Issues in Sustainability","","4.0","Lecture","64520R","001","12:00-12:50pm","MWF","1","0","0","","GFS218"
"","Issues in Sustainability","","4.0","Lecture","64525R","001","12:00-12:50pm","MWF","1","0","0","","GFS217"
"","Technology &amp; Social Change","","4.0","Lecture","64530R","001","12:00-12:50pm","MWF","1","0","0","","GFS216"
"","Technology &amp; Social Change","","4.0","Lecture","64535R","001","12:00-12:50pm","MWF","1","0","0","","GFS212"
"","Issues in Aesthetics","","4.0","Lecture","64550R","001","12:30-1:50pm","Tue, Thu","1","0","0","","WPH206"
"","Issues in Contemporary Economics","","4.0","Lecture","64555R","001","12:30-1:50pm","Tue, Thu","1","0","0","","WPH107"
"","Education and Intellectual Development","","4.0","Lecture","64560R","001","12:30-1:50pm","Tue, Thu","1","0","0","","VKC158"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64565R","001","12:30-1:50pm","Tue, Thu","1","0","0","","VKC155"
"","Health and Healing","","4.0","Lecture","64570R","001","12:30-1:50pm","Tue, Thu","1","0","0","","VKC154"
"","Human Values and Belief Systems","","4.0","Lecture","64575R","001","12:30-1:50pm","Tue, Thu","1","0","0","","THH215"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64580R","001","12:30-1:50pm","Tue, Thu","1","0","0","","GFS222"
"","Issues in Law and Social Justice","","4.0","Lecture","64585R","001","12:30-1:50pm","Tue, Thu","1","0","0","","GFS223"
"","Issues in Law and Social Justice","","4.0","Lecture","64590R","001","12:30-1:50pm","Tue, Thu","1","0","0","","GFS107"
"","Issues in Sustainability","","4.0","Lecture","64595R","001","12:30-1:50pm","Tue, Thu","1","0","0","","GFS109"
"","Issues in Sustainability","","4.0","Lecture","64600R","001","12:30-1:50pm","Tue, Thu","1","0","0","","GFS105"
"","Technology &amp; Social Change","","4.0","Lecture","64605R","001","12:30-1:50pm","Tue, Thu","1","0","0","","GFS104"
"","Technology &amp; Social Change","","4.0","Lecture","64610R","001","12:30-1:50pm","Tue, Thu","1","0","0","","GFS218"
"","Health and Healing","","4.0","Lecture","64615R","001","12:30-1:50pm","Tue, Thu","1","0","0","","GFS217"
"","Education and Intellectual Development","","4.0","Lecture","64630R","001","1:00-1:50pm","MWF","1","0","0","","WPH201"
"","Education and Intellectual Development","","4.0","Lecture","64635R","001","1:00-1:50pm","MWF","1","0","0","","GFS229"
"","Issues in Aesthetics","","4.0","Lecture","64640R","001","1:00-1:50pm","MWF","1","0","0","","GFS228"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64645R","001","1:00-1:50pm","MWF","1","0","0","","GFS221"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64650R","001","1:00-1:50pm","MWF","1","0","0","","GFS213"
"","Health and Healing","","4.0","Lecture","64655R","001","1:00-1:50pm","MWF","1","0","0","","GFS109"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64660R","001","1:00-1:50pm","MWF","1","0","0","","GFS108"
"","Issues in Law and Social Justice","","4.0","Lecture","64665R","001","1:00-1:50pm","MWF","1","0","0","","GFS105"
"","Issues in Sustainability","","4.0","Lecture","64675R","001","1:00-1:50pm","MWF","1","0","0","","GFS218"
"","Technology &amp; Social Change","","4.0","Lecture","64680R","001","1:00-1:50pm","MWF","1","0","0","","GFS217"
"","Health and Healing","","4.0","Lecture","64685R","001","1:00-1:50pm","MWF","1","0","0","","GFS216"
"","Education and Intellectual Development","","4.0","Lecture","64715R","001","2:00-3:20pm","Mon, Wed","1","0","0","","VKC154"
"","Issues in Aesthetics","","4.0","Lecture","64720R","001","2:00-3:20pm","Mon, Wed","1","0","0","","THH215"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64725R","001","2:00-3:20pm","Mon, Wed","1","0","0","","THH108"
"","Health and Healing","","4.0","Lecture","64730R","001","2:00-3:20pm","Mon, Wed","1","0","0","","WPH B26"
"","Human Values and Belief Systems","","4.0","Lecture","64735R","001","2:00-3:20pm","Mon, Wed","1","0","0","","VKC257"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64740R","001","2:00-3:20pm","Mon, Wed","1","0","0","","VKC206"
"","Issues in Law and Social Justice","","4.0","Lecture","64745R","001","2:00-3:20pm","Mon, Wed","1","0","0","","SOS B47"
"","Technology &amp; Social Change","","4.0","Lecture","64755R","001","2:00-3:20pm","Mon, Wed","1","0","0","","VKC202"
"","Human Values and Belief Systems","","4.0","Lecture","64760R","001","2:00-3:20pm","Mon, Wed","1","0","0","","WPH104"
"","Issues in Contemporary Economics","","4.0","Lecture","64770R","001","2:00-3:20pm","Tue, Thu","1","0","0","","VKC207"
"","Education and Intellectual Development","","4.0","Lecture","64775R","001","2:00-3:20pm","Tue, Thu","1","0","0","","VKC158"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64780R","001","2:00-3:20pm","Tue, Thu","1","0","0","","WPH107"
"","Health and Healing","","4.0","Lecture","64785R","001","2:00-3:20pm","Tue, Thu","1","0","0","","THH215"
"","Human Values and Belief Systems","","4.0","Lecture","64790R","001","2:00-3:20pm","Tue, Thu","1","0","0","","WPH206"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64795R","001","2:00-3:20pm","Tue, Thu","1","0","0","","THH106"
"","Issues in Sustainability","","4.0","Lecture","64800R","001","2:00-3:20pm","Tue, Thu","1","0","0","","LVL13"
"","Technology &amp; Social Change","","4.0","Lecture","64805R","001","2:00-3:20pm","Tue, Thu","1","0","0","","VKC256"
"","Human Values and Belief Systems","","4.0","Lecture","64875D","001","3:30-4:50pm","Mon, Wed","1","0","0","","GFS108"
"","Issues in Contemporary Economics","","4.0","Lecture","64900R","001","3:30-4:50pm","Tue, Thu","1","0","0","","THH205"
"","Education and Intellectual Development","","4.0","Lecture","64905R","001","3:30-4:50pm","Tue, Thu","1","0","0","","THH117"
"","Globalization:Current Issues and Cross-Cultural Perspectives","","4.0","Lecture","64910R","001","3:30-4:50pm","Tue, Thu","1","0","0","","VKC256"
"","Health and Healing","","4.0","Lecture","64915R","001","3:30-4:50pm","Tue, Thu","1","0","0","","GFS220"
"","Human Values and Belief Systems","","4.0","Lecture","64920R","001","3:30-4:50pm","Tue, Thu","1","0","0","","GFS223"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64925R","001","3:30-4:50pm","Tue, Thu","1","0","0","","GFS107"
"","Issues in Sustainability","","4.0","Lecture","64930R","001","3:30-4:50pm","Tue, Thu","1","0","0","","GFS221"
"","Technology &amp; Social Change","","4.0","Lecture","64935R","001","3:30-4:50pm","Tue, Thu","1","0","0","","THH113"
"WRIT-340","Advanced Writing","P","3.0-4.0 units"
"","Advanced Writing for Arts and Humanities","","4.0","Lecture","65002R","001","9:00-9:50am","MWF","1","0","0","","GFS111"
"","Advanced Writing for Social Sciences","","4.0","Lecture","65004R","001","9:00-9:50am","MWF","1","0","0","","GFS202"
"","Advanced Writing for Arts and Humanities.","","4.0","Lecture","65005R","001","9:30-10:50am","Tue, Thu","1","0","0","","GFS218"
"","Advanced Writing for Arts and Humanities","","4.0","Lecture","65010R","001","9:30-10:50am","Tue, Thu","1","1","0","","GFS217"
"","Advanced Writing for Pre-Law Students","","4.0","Lecture","65025R","001","9:30-10:50am","Tue, Thu","1","0","0","","GFS210"
"","Advanced Writing for Social Sciences","","4.0","Lecture","65030R","001","9:30-10:50am","Tue, Thu","1","0","0","","GFS205"
"","Advanced Writing for Social Sciences","","4.0","Lecture","65035R","001","9:30-10:50am","Tue, Thu","1","0","0","","GFS204"
"","Advanced Writing for Social Sciences","","4.0","Lecture","65040R","001","9:30-10:50am","Tue, Thu","1","0","0","","GFS112"
"","Advanced Writing for Social Sciences","","4.0","Lecture","65045R","001","9:30-10:50am","Tue, Thu","1","0","0","","GFS111"
"","Advanced Writing for Arts and Humanities","","4.0","Lecture","65050R","001","10:00-10:50am","MWF","1","0","0","","GFS114"
"","Advanced Writing for Arts and Humanities","","4.0","Lecture","65055R","001","10:00-10:50am","MWF","1","1","0","","GFS113"
"","Advanced Writing for Social Sciences","","4.0","Lecture","65065R","001","10:00-10:50am","MWF","1","0","0","","GFS111"
"","Advanced Writing for Arts and Humanities","","4.0","Lecture","65070R","001","11:00-11:50am","MWF","1","0","0","","GFS205"
"","Advanced Writing for Arts and Humanities","","4.0","Lecture","65075R","001","11:00-11:50am","MWF","1","0","0","","GFS114"
"","Advanced Writing for Arts and Humanities","","4.0","Lecture","65080R","001","11:00-11:50am","MWF","1","0","0","","GFS113"
"","Advanced Writing for Natural Sciences","","4.0","Lecture","65085R","001","11:00-11:50am","MWF","1","0","0","","GFS112"
"","Advanced Writing for Social Sciences","","4.0","Lecture","65090R","001","11:00-11:50am","MWF","1","0","0","","GFS111"
"","Advanced Writing for Pre-Law Students","","4.0","Lecture","65092R","001","11:00-11:50am","MWF","1","0","0","","GFS210"
"","Advanced Writing for Arts and Humanities","","4.0","Lecture","65095R","001","11:00-12:20pm","Tue, Thu","1","0","0","","SOS B52"
