"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CNTV-467","The Future of Digital Media and the Entertainment Industry","M","2.0 units","Lecture","17815D","001","7:00-10:00pm","Wednesday","45","0","0","","SCA112"
"CNTV-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","17800D","001","TBA","TBA","25","0","0","Akira Lippit","OFFICE"
"CNTV-495","Internship in Cinematic Arts","","1.0-4.0 units, max 4","Lecture","17828D","001","6:00-8:50pm","Tuesday","50","0","0","","SCB104"
"","","","","Lecture","17843D","583","TBA","TBA","120","0","0","Kristen Clark","OFFICE"
"CNTV-522","The Television Industry: Networks, Cable and the Internet","","4.0 units","Lecture","17842D","037","7:00-10:00pm","Thursday","35","0","0","",""
"CNTV-524","Digital Technologies and the Entertainment Industry","","4.0 units","Lecture","17804D","037","7:00-10:00pm","Tuesday","50","1","0","",""
"CNTV-590","Directed Research","","1.0-12.0 units","Lecture","17807D","037","TBA","TBA","25","1","0","Akira Lippit","OFFICE"
"","","","","Lecture","17809D","037","TBA","TBA","15","0","0","Akira Lippit","OFFICE"
"CNTV-594b","Master's Thesis","P","2.0 units","Lecture","17814D","037","TBA","TBA","5","0","0","","TBA"
"CNTV-594z","Master's Thesis","P","0.0 units","Lecture","17816D","037","TBA","TBA","5","0","0","","OFFICE"
"CNTV-794a","Doctoral Dissertation","","2.0 units","Lecture","17830D","037","TBA","TBA","3","0","0","","OFFICE"
"CNTV-794b","Doctoral Dissertation","P","2.0 units","Lecture","17831D","037","TBA","TBA","3","0","0","","OFFICE"
"CNTV-794c","Doctoral Dissertation","P","2.0 units","Lecture","17832D","037","TBA","TBA","3","0","0","","OFFICE"
"CNTV-794d","Doctoral Dissertation","P","2.0 units","Lecture","17833D","037","TBA","TBA","3","0","0","","OFFICE"
"CNTV-794z","Doctoral Dissertation","P","0.0 units","Lecture","17834D","037","TBA","TBA","8","0","0","","OFFICE"
